measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
200209;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;42;40;2;2;0;0;0
200209;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;82;82;0;0;0;0;0
200209;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];3;1.0;328;313;15;6;6;1;2
200209;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];4;1.0;376;367;9;7;0;1;1
200209;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];5;1.0;86;84;2;0;1;1;0
200209;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];6;1.0;21;20;1;1;0;0;0
200209;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];7;1.0;0;0;0;0;0;0;0
200209;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];8;1.0;0;0;0;0;0;0;0
200209;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;76;76;0;0;0;0;0
200209;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;98;96;2;2;0;0;0
200209;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];3;1.0;437;427;10;4;0;0;6
200209;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];4;1.0;532;528;4;3;0;0;1
200209;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];5;1.0;140;138;2;1;1;0;0
200209;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];6;1.0;43;37;6;2;2;1;1
200209;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];7;1.0;0;0;0;0;0;0;0
200209;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];8;1.0;0;0;0;0;0;0;0
200209;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;32;32;0;0;0;0;0
200209;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;37;37;0;0;0;0;0
200209;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];3;1.0;302;293;9;3;3;1;2
200209;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];4;1.0;311;305;6;3;1;0;2
200209;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];5;1.0;102;98;4;3;0;0;1
200209;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];6;1.0;33;32;1;1;0;0;0
200209;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];7;1.0;0;0;0;0;0;0;0
200209;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];8;1.0;1;0;1;1;0;0;0
200209;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;21;20;1;0;1;0;0
200209;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;15;14;1;0;1;0;0
200209;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];3;1.0;199;191;8;2;0;1;5
200209;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];4;1.0;205;201;4;1;2;1;0
200209;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];5;1.0;48;45;3;2;0;1;0
200209;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];6;1.0;17;13;4;0;2;0;2
200209;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];7;1.0;0;0;0;0;0;0;0
200209;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];8;1.0;0;0;0;0;0;0;0
200209;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;13;13;0;0;0;0;0
200209;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;6;6;0;0;0;0;0
200209;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];3;1.0;175;165;10;2;0;6;2
200209;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];4;1.0;120;116;4;3;0;1;0
200209;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];5;1.0;25;23;2;1;0;0;1
200209;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];6;1.0;3;0;3;2;0;1;0
200209;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];7;1.0;0;0;0;0;0;0;0
200209;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];8;1.0;0;0;0;0;0;0;0
200209;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;8;7;1;1;0;0;0
200209;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;5;4;1;1;0;0;0
200209;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];3;1.0;135;123;12;5;1;5;1
