measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
200006;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;138;129;9;6;3;0;0
200006;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;265;260;5;3;1;0;1
200006;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;190;186;4;2;2;0;0
200006;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;86;77;9;5;4;0;0
200006;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;39;34;5;1;3;0;1
200006;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;40;37;3;1;2;0;0
200006;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;33;32;1;0;0;0;1
200006;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;42;41;1;0;0;0;1
200006;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;51;50;1;0;0;0;1
200006;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;55;52;3;3;0;0;0
200006;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;70;65;5;3;1;1;0
200006;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];1;1.0;280;269;11;4;3;0;4
200006;DATAINN;E;2018-01-01T12:00+01:00[Europe/Oslo];1;1.0;290;274;16;12;2;0;2
200006;DATAINN;E;2018-01-01T13:00+01:00[Europe/Oslo];1;1.0;466;448;18;3;8;3;4
200006;DATAINN;E;2018-01-01T14:00+01:00[Europe/Oslo];1;1.0;575;560;15;8;6;0;1
200006;DATAINN;E;2018-01-01T15:00+01:00[Europe/Oslo];1;1.0;584;571;13;5;5;1;2
200006;DATAINN;E;2018-01-01T16:00+01:00[Europe/Oslo];1;1.0;533;518;15;6;8;0;1
200006;DATAINN;E;2018-01-01T17:00+01:00[Europe/Oslo];1;1.0;513;507;6;3;1;0;2
200006;DATAINN;E;2018-01-01T18:00+01:00[Europe/Oslo];1;1.0;486;470;16;6;7;1;2
200006;DATAINN;E;2018-01-01T19:00+01:00[Europe/Oslo];1;1.0;378;368;10;3;4;2;1
200006;DATAINN;E;2018-01-01T20:00+01:00[Europe/Oslo];1;1.0;366;355;11;3;4;1;3
200006;DATAINN;E;2018-01-01T21:00+01:00[Europe/Oslo];1;1.0;287;275;12;3;6;1;2
200006;DATAINN;E;2018-01-01T22:00+01:00[Europe/Oslo];1;1.0;207;199;8;4;1;0;3
200006;DATAINN;E;2018-01-01T23:00+01:00[Europe/Oslo];1;1.0;122;113;9;2;2;3;2
200006;DATAINN;E;2018-01-02T00:00+01:00[Europe/Oslo];1;1.0;58;51;7;4;1;0;2
200006;DATAINN;E;2018-01-02T01:00+01:00[Europe/Oslo];1;1.0;49;41;8;3;2;1;2
200006;DATAINN;E;2018-01-02T02:00+01:00[Europe/Oslo];1;1.0;22;18;4;2;1;0;1
200006;DATAINN;E;2018-01-02T03:00+01:00[Europe/Oslo];1;1.0;15;10;5;0;3;0;2
200006;DATAINN;E;2018-01-02T04:00+01:00[Europe/Oslo];1;1.0;27;15;11;3;6;2;0
200006;DATAINN;E;2018-01-02T05:00+01:00[Europe/Oslo];1;1.0;68;55;13;2;6;0;5
200006;DATAINN;E;2018-01-02T06:00+01:00[Europe/Oslo];1;1.0;302;258;44;10;23;3;8
200006;DATAINN;E;2018-01-02T07:00+01:00[Europe/Oslo];1;1.0;580;524;56;15;23;8;10
200006;DATAINN;E;2018-01-02T08:00+01:00[Europe/Oslo];1;1.0;502;401;101;30;40;10;21
200006;DATAINN;E;2018-01-02T09:00+01:00[Europe/Oslo];1;1.0;428;338;90;35;28;9;18
200006;DATAINN;E;2018-01-02T10:00+01:00[Europe/Oslo];1;1.0;487;374;113;43;33;7;30
200006;DATAINN;E;2018-01-02T11:00+01:00[Europe/Oslo];1;1.0;626;514;111;35;44;5;27
200006;DATAINN;E;2018-01-02T12:00+01:00[Europe/Oslo];1;1.0;675;582;93;40;30;5;18
200006;DATAINN;E;2018-01-02T13:00+01:00[Europe/Oslo];1;1.0;826;713;113;36;40;8;29
200006;DATAINN;E;2018-01-02T14:00+01:00[Europe/Oslo];1;1.0;1036;924;111;45;38;4;24
200006;DATAINN;E;2018-01-02T15:00+01:00[Europe/Oslo];1;1.0;1393;1290;103;45;31;7;20
200006;DATAINN;E;2018-01-02T16:00+01:00[Europe/Oslo];1;1.0;1343;1260;83;26;21;8;28
200006;DATAINN;E;2018-01-02T17:00+01:00[Europe/Oslo];1;1.0;926;871;55;17;17;6;15
200006;DATAINN;E;2018-01-02T18:00+01:00[Europe/Oslo];1;1.0;711;664;47;18;14;5;10
200006;DATAINN;E;2018-01-02T19:00+01:00[Europe/Oslo];1;1.0;755;696;58;15;18;5;20
200006;DATAINN;E;2018-01-02T20:00+01:00[Europe/Oslo];1;1.0;345;320;25;6;10;0;9
200006;DATAINN;E;2018-01-02T21:00+01:00[Europe/Oslo];1;1.0;291;273;18;8;7;1;2
200006;DATAINN;E;2018-01-02T22:00+01:00[Europe/Oslo];1;1.0;194;184;10;3;3;1;3
200006;DATAINN;E;2018-01-02T23:00+01:00[Europe/Oslo];1;1.0;147;129;18;3;7;2;6
200006;DATAINN;E;2018-01-03T00:00+01:00[Europe/Oslo];1;1.0;46;41;5;2;2;0;1
200006;DATAINN;E;2018-01-03T01:00+01:00[Europe/Oslo];1;1.0;33;26;6;0;1;0;5
200006;DATAINN;E;2018-01-03T02:00+01:00[Europe/Oslo];1;1.0;19;12;7;2;1;1;3
200006;DATAINN;E;2018-01-03T03:00+01:00[Europe/Oslo];1;1.0;29;19;10;5;4;0;1
200006;DATAINN;E;2018-01-03T04:00+01:00[Europe/Oslo];1;1.0;23;9;14;4;5;0;5
200006;DATAINN;E;2018-01-03T05:00+01:00[Europe/Oslo];1;1.0;75;45;30;4;13;0;13
