measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
300030;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;51;49;2;1;1;0;0
300030;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;267;263;4;3;1;0;0
300030;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];3;1.0;355;341;14;5;3;2;4
300030;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];4;1.0;495;476;19;5;4;3;7
300030;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];5;1.0;148;132;16;4;4;6;2
300030;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];6;1.0;215;197;18;4;3;6;5
300030;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;71;67;4;2;1;0;1
300030;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;165;163;2;2;0;0;0
300030;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];3;1.0;465;454;11;3;0;4;4
300030;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];4;1.0;414;395;19;1;3;0;15
300030;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];5;1.0;166;151;15;0;0;3;12
300030;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];6;1.0;205;186;19;5;3;1;10
300030;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;41;41;0;0;0;0;0
300030;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;99;98;1;1;0;0;0
300030;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];3;1.0;339;328;11;1;2;3;5
300030;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];4;1.0;326;320;6;1;1;0;4
300030;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];5;1.0;140;130;10;0;0;1;9
300030;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];6;1.0;148;133;15;2;0;1;12
300030;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;30;28;2;1;0;0;1
300030;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;87;86;1;1;0;0;0
300030;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];3;1.0;242;231;11;5;0;4;2
300030;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];4;1.0;277;269;8;3;3;0;2
300030;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];5;1.0;155;143;12;2;0;0;10
300030;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];6;1.0;150;135;15;2;0;2;11
300030;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;16;16;0;0;0;0;0
300030;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;39;39;0;0;0;0;0
300030;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];3;1.0;180;167;13;3;4;2;4
300030;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];4;1.0;191;181;10;4;3;0;3
300030;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];5;1.0;109;102;7;0;1;0;6
300030;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];6;1.0;137;125;12;2;0;1;9
300030;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;6;6;0;0;0;0;0
300030;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;26;26;0;0;0;0;0
300030;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];3;1.0;125;115;10;3;1;4;2
300030;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];4;1.0;155;144;11;4;4;0;3
300030;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];5;1.0;66;59;7;1;0;0;6
300030;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];6;1.0;83;74;9;1;2;1;5
300030;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;12;12;0;0;0;0;0
300030;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;21;21;0;0;0;0;0
300030;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];3;1.0;103;89;14;2;5;5;2
300030;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];4;1.0;168;162;6;1;1;2;2
300030;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];5;1.0;58;46;12;0;0;2;10
300030;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];6;1.0;53;47;6;0;2;2;2
300030;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;10;10;0;0;0;0;0
300030;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;20;20;0;0;0;0;0
300030;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];3;1.0;145;129;16;1;4;7;4
300030;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];4;1.0;177;166;11;3;4;1;3
300030;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];5;1.0;67;56;11;1;2;4;4
300030;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];6;1.0;46;37;9;0;2;5;2
300030;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;16;16;0;0;0;0;0
300030;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];2;1.0;19;18;1;1;0;0;0
300030;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];3;1.0;148;124;24;2;5;8;9
300030;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];4;1.0;174;167;7;2;4;1;0
300030;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];5;1.0;29;23;6;1;0;5;0
300030;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];6;1.0;33;24;9;0;1;3;5
300030;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;18;18;0;0;0;0;0
300030;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];2;1.0;26;23;3;1;1;0;1
300030;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];3;1.0;157;132;25;4;6;12;3
300030;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];4;1.0;159;147;12;6;1;2;3
300030;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];5;1.0;47;39;8;0;1;5;2
300030;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];6;1.0;30;20;10;2;0;4;4
300030;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;27;26;1;0;0;1;0
300030;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];2;1.0;38;36;2;1;1;0;0
300030;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];3;1.0;217;181;36;10;9;11;6
300030;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];4;1.0;230;213;16;6;4;2;4
300030;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];5;1.0;64;52;12;2;0;8;2
300030;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];6;1.0;49;37;12;2;2;6;2
300030;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];1;1.0;68;65;3;3;0;0;0
300030;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];2;1.0;83;82;1;1;0;0;0
300030;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];3;1.0;364;331;33;6;10;8;9
300030;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];4;1.0;331;308;23;7;3;7;6
300030;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];5;1.0;108;88;20;1;1;13;5
300030;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];6;1.0;83;72;11;1;0;8;2
300030;DATAINN;E;2018-01-01T12:00+01:00[Europe/Oslo];1;1.0;129;128;1;1;0;0;0
