measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
200135;DATAINN;F;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;89;86;3;1;0;2;0
200135;DATAINN;F;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;72;70;2;0;0;2;0
200135;DATAINN;F;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;103;101;2;1;0;1;0
200135;DATAINN;F;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;112;109;3;0;0;3;0
200135;DATAINN;F;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;72;66;6;2;1;3;0
200135;DATAINN;F;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;94;88;6;3;1;2;0
200135;DATAINN;F;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;45;43;2;1;0;1;0
200135;DATAINN;F;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;49;47;2;0;0;2;0
200135;DATAINN;F;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;21;18;3;1;1;1;0
200135;DATAINN;F;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;26;25;1;0;0;1;0
200135;DATAINN;F;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;18;16;2;0;1;1;0
200135;DATAINN;F;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;11;11;0;0;0;0;0
200135;DATAINN;F;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;18;14;4;2;2;0;0
200135;DATAINN;F;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;13;13;0;0;0;0;0
200135;DATAINN;F;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;22;20;2;1;0;1;0
200135;DATAINN;F;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;37;36;1;0;0;1;0
200135;DATAINN;F;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;21;18;3;1;1;1;0
200135;DATAINN;F;2018-01-01T08:00+01:00[Europe/Oslo];2;1.0;20;15;5;3;1;1;0
200135;DATAINN;F;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;22;20;2;1;0;1;0
200135;DATAINN;F;2018-01-01T09:00+01:00[Europe/Oslo];2;1.0;30;26;4;3;0;1;0
200135;DATAINN;F;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;37;34;3;1;0;2;0
200135;DATAINN;F;2018-01-01T10:00+01:00[Europe/Oslo];2;1.0;44;42;2;1;0;1;0
