measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
202194;DATAINN;F;2018-04-26T12:00+02:00[Europe/Oslo];1;1.0;216;165;51;10;27;7;7
202194;DATAINN;F;2018-04-26T12:00+02:00[Europe/Oslo];2;1.0;592;497;95;40;42;5;8
202194;DATAINN;F;2018-04-26T13:00+02:00[Europe/Oslo];1;1.0;179;130;49;14;25;4;6
202194;DATAINN;F;2018-04-26T13:00+02:00[Europe/Oslo];2;1.0;617;548;69;32;25;6;6
202194;DATAINN;F;2018-04-26T14:00+02:00[Europe/Oslo];1;1.0;255;189;66;18;32;9;7
202194;DATAINN;F;2018-04-26T14:00+02:00[Europe/Oslo];2;1.0;581;512;69;26;30;6;7
202194;DATAINN;F;2018-04-26T15:00+02:00[Europe/Oslo];1;1.0;333;293;40;14;18;1;7
202194;DATAINN;F;2018-04-26T15:00+02:00[Europe/Oslo];2;1.0;512;456;56;25;22;0;9
202194;DATAINN;F;2018-04-26T16:00+02:00[Europe/Oslo];1;1.0;270;239;31;15;11;2;3
202194;DATAINN;F;2018-04-26T16:00+02:00[Europe/Oslo];2;1.0;587;555;32;11;13;1;7
202194;DATAINN;F;2018-04-26T17:00+02:00[Europe/Oslo];1;1.0;195;170;25;9;10;3;3
202194;DATAINN;F;2018-04-26T17:00+02:00[Europe/Oslo];2;1.0;608;571;37;14;12;3;8
202194;DATAINN;F;2018-04-26T18:00+02:00[Europe/Oslo];1;1.0;190;163;27;9;11;5;2
202194;DATAINN;F;2018-04-26T18:00+02:00[Europe/Oslo];2;1.0;628;595;33;17;11;3;2
202194;DATAINN;F;2018-04-26T19:00+02:00[Europe/Oslo];1;1.0;154;136;18;2;13;1;2
202194;DATAINN;F;2018-04-26T19:00+02:00[Europe/Oslo];2;1.0;517;493;24;6;14;1;3
202194;DATAINN;F;2018-04-26T20:00+02:00[Europe/Oslo];1;1.0;127;110;17;3;12;0;2
202194;DATAINN;F;2018-04-26T20:00+02:00[Europe/Oslo];2;1.0;459;437;22;10;9;0;3
202194;DATAINN;F;2018-04-26T21:00+02:00[Europe/Oslo];1;1.0;92;85;7;1;3;0;3
202194;DATAINN;F;2018-04-26T21:00+02:00[Europe/Oslo];2;1.0;231;227;4;4;0;0;0
202194;DATAINN;F;2018-04-26T22:00+02:00[Europe/Oslo];1;1.0;54;51;3;1;1;0;1
202194;DATAINN;F;2018-04-26T22:00+02:00[Europe/Oslo];2;1.0;157;152;5;1;2;0;2
202194;DATAINN;F;2018-04-26T23:00+02:00[Europe/Oslo];1;1.0;17;16;1;0;0;1;0
202194;DATAINN;F;2018-04-26T23:00+02:00[Europe/Oslo];2;1.0;107;107;0;0;0;0;0
202194;DATAINN;F;2018-04-27T00:00+02:00[Europe/Oslo];1;1.0;5;4;1;0;0;1;0
202194;DATAINN;F;2018-04-27T00:00+02:00[Europe/Oslo];2;1.0;41;41;0;0;0;0;0
202194;DATAINN;F;2018-04-27T01:00+02:00[Europe/Oslo];1;1.0;4;4;0;0;0;0;0
202194;DATAINN;F;2018-04-27T01:00+02:00[Europe/Oslo];2;1.0;27;23;4;1;1;2;0
202194;DATAINN;F;2018-04-27T02:00+02:00[Europe/Oslo];1;1.0;9;5;4;0;3;0;1
202194;DATAINN;F;2018-04-27T02:00+02:00[Europe/Oslo];2;1.0;23;15;8;0;3;2;3
202194;DATAINN;F;2018-04-27T03:00+02:00[Europe/Oslo];1;1.0;5;1;4;0;4;0;0
202194;DATAINN;F;2018-04-27T03:00+02:00[Europe/Oslo];2;1.0;9;8;1;0;1;0;0
202194;DATAINN;F;2018-04-27T04:00+02:00[Europe/Oslo];1;1.0;3;1;2;0;2;0;0
202194;DATAINN;F;2018-04-27T04:00+02:00[Europe/Oslo];2;1.0;19;15;4;1;3;0;0
202194;DATAINN;F;2018-04-27T05:00+02:00[Europe/Oslo];1;1.0;8;6;2;0;2;0;0
202194;DATAINN;F;2018-04-27T05:00+02:00[Europe/Oslo];2;1.0;73;54;19;4;8;4;3
202194;DATAINN;F;2018-04-27T06:00+02:00[Europe/Oslo];1;1.0;43;28;15;4;5;1;5
202194;DATAINN;F;2018-04-27T06:00+02:00[Europe/Oslo];2;1.0;344;304;40;19;12;7;2
202194;DATAINN;F;2018-04-27T07:00+02:00[Europe/Oslo];1;1.0;134;108;26;7;10;1;8
202194;DATAINN;F;2018-04-27T07:00+02:00[Europe/Oslo];2;1.0;654;605;49;18;19;4;8
202194;DATAINN;F;2018-04-27T08:00+02:00[Europe/Oslo];1;1.0;149;116;33;8;10;6;9
202194;DATAINN;F;2018-04-27T08:00+02:00[Europe/Oslo];2;1.0;617;558;59;15;25;11;8
202194;DATAINN;F;2018-04-27T09:00+02:00[Europe/Oslo];1;1.0;139;102;37;10;15;5;7
202194;DATAINN;F;2018-04-27T09:00+02:00[Europe/Oslo];2;1.0;539;463;75;34;26;6;9
202194;DATAINN;F;2018-04-27T10:00+02:00[Europe/Oslo];1;1.0;161;124;37;15;11;3;8
202194;DATAINN;F;2018-04-27T10:00+02:00[Europe/Oslo];2;1.0;510;432;78;29;34;6;9
202194;DATAINN;F;2018-04-27T11:00+02:00[Europe/Oslo];1;1.0;179;140;39;16;18;2;3
202194;DATAINN;F;2018-04-27T11:00+02:00[Europe/Oslo];2;1.0;574;499;75;27;37;4;7
202194;DATAINN;F;2018-04-27T12:00+02:00[Europe/Oslo];1;1.0;222;183;39;11;21;4;3
202194;DATAINN;F;2018-04-27T12:00+02:00[Europe/Oslo];2;1.0;573;503;70;30;26;4;10
202194;DATAINN;F;2018-04-27T13:00+02:00[Europe/Oslo];1;1.0;247;217;30;11;17;1;1
202194;DATAINN;F;2018-04-27T13:00+02:00[Europe/Oslo];2;1.0;524;469;55;18;23;4;10
202194;DATAINN;F;2018-04-27T14:00+02:00[Europe/Oslo];1;1.0;358;316;42;16;19;3;4
202194;DATAINN;F;2018-04-27T14:00+02:00[Europe/Oslo];2;1.0;472;441;31;10;15;3;3
202194;DATAINN;F;2018-04-27T15:00+02:00[Europe/Oslo];1;1.0;354;324;30;10;17;1;2
202194;DATAINN;F;2018-04-27T15:00+02:00[Europe/Oslo];2;1.0;470;448;22;10;8;2;2
202194;DATAINN;F;2018-04-27T16:00+02:00[Europe/Oslo];1;1.0;311;292;19;7;8;4;0
202194;DATAINN;F;2018-04-27T16:00+02:00[Europe/Oslo];2;1.0;513;490;23;9;9;2;3
202194;DATAINN;F;2018-04-27T17:00+02:00[Europe/Oslo];1;1.0;244;234;10;4;3;2;1
202194;DATAINN;F;2018-04-27T17:00+02:00[Europe/Oslo];2;1.0;395;371;24;5;13;1;5
202194;DATAINN;F;2018-04-27T18:00+02:00[Europe/Oslo];1;1.0;216;206;10;4;5;1;0
202194;DATAINN;F;2018-04-27T18:00+02:00[Europe/Oslo];2;1.0;401;381;20;7;13;0;0
202194;DATAINN;F;2018-04-27T19:00+02:00[Europe/Oslo];1;1.0;121;109;12;7;4;0;1
202194;DATAINN;F;2018-04-27T19:00+02:00[Europe/Oslo];2;1.0;439;421;18;8;9;0;1
202194;DATAINN;F;2018-04-27T20:00+02:00[Europe/Oslo];1;1.0;64;57;7;4;2;0;1
202194;DATAINN;F;2018-04-27T20:00+02:00[Europe/Oslo];2;1.0;342;329;13;7;5;1;0
202194;DATAINN;F;2018-04-27T21:00+02:00[Europe/Oslo];1;1.0;58;53;5;5;0;0;0
202194;DATAINN;F;2018-04-27T21:00+02:00[Europe/Oslo];2;1.0;171;168;3;1;2;0;0
202194;DATAINN;F;2018-04-27T22:00+02:00[Europe/Oslo];1;1.0;43;40;3;1;2;0;0
202194;DATAINN;F;2018-04-27T22:00+02:00[Europe/Oslo];2;1.0;179;172;7;0;6;1;0
202194;DATAINN;F;2018-04-27T23:00+02:00[Europe/Oslo];1;1.0;18;17;1;0;0;1;0
202194;DATAINN;F;2018-04-27T23:00+02:00[Europe/Oslo];2;1.0;94;89;5;0;1;3;1
202194;DATAINN;F;2018-04-28T00:00+02:00[Europe/Oslo];1;1.0;20;19;1;0;0;1;0
202194;DATAINN;F;2018-04-28T00:00+02:00[Europe/Oslo];2;1.0;97;94;3;0;0;3;0
202194;DATAINN;F;2018-04-28T01:00+02:00[Europe/Oslo];1;1.0;18;17;1;0;0;1;0
202194;DATAINN;F;2018-04-28T01:00+02:00[Europe/Oslo];2;1.0;58;49;9;0;5;4;0
202194;DATAINN;F;2018-04-28T02:00+02:00[Europe/Oslo];1;1.0;8;7;1;0;1;0;0
202194;DATAINN;F;2018-04-28T02:00+02:00[Europe/Oslo];2;1.0;25;21;4;1;0;1;2
202194;DATAINN;F;2018-04-28T03:00+02:00[Europe/Oslo];1;1.0;10;8;2;0;0;0;2
202194;DATAINN;F;2018-04-28T03:00+02:00[Europe/Oslo];2;1.0;31;22;9;0;2;7;0
202194;DATAINN;F;2018-04-28T04:00+02:00[Europe/Oslo];1;1.0;5;4;1;0;0;1;0
202194;DATAINN;F;2018-04-28T04:00+02:00[Europe/Oslo];2;1.0;22;21;1;0;0;1;0
202194;DATAINN;F;2018-04-28T05:00+02:00[Europe/Oslo];1;1.0;3;0;3;2;1;0;0
202194;DATAINN;F;2018-04-28T05:00+02:00[Europe/Oslo];2;1.0;12;10;2;0;2;0;0
