measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
302137;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;216;213;3;3;0;0;0
302137;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;364;361;3;1;0;2;0
302137;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;228;224;4;4;0;0;0
302137;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;293;287;6;5;1;0;0
302137;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;198;196;2;0;1;1;0
302137;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;293;285;8;5;0;3;0
302137;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;186;182;4;2;0;2;0
302137;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;288;281;7;4;2;1;0
302137;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;188;183;5;3;0;2;0
302137;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;212;206;6;4;1;1;0
302137;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;92;91;1;0;0;1;0
302137;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;145;140;5;3;0;2;0
302137;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;69;65;4;1;0;3;0
302137;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;90;85;5;4;0;1;0
302137;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;67;64;3;0;1;2;0
302137;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;60;58;2;1;0;1;0
302137;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;44;42;2;1;0;1;0
302137;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];2;1.0;48;46;2;1;0;1;0
302137;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;44;41;3;0;0;3;0
302137;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];2;1.0;58;54;4;1;0;3;0
302137;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;81;76;5;2;0;3;0
302137;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];2;1.0;61;56;5;3;1;1;0
