measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
205310;DATAINN;F;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;41;40;1;0;0;1;0
205310;DATAINN;F;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;36;33;3;0;2;1;0
205310;DATAINN;F;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;36;36;0;0;0;0;0
205310;DATAINN;F;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;50;49;1;1;0;0;0
205310;DATAINN;F;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;51;50;1;1;0;0;0
205310;DATAINN;F;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;48;45;3;2;0;1;0
205310;DATAINN;F;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;14;14;0;0;0;0;0
205310;DATAINN;F;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;28;27;1;0;0;1;0
205310;DATAINN;F;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;18;17;1;1;0;0;0
205310;DATAINN;F;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;24;22;2;1;0;1;0
205310;DATAINN;F;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;12;12;0;0;0;0;0
205310;DATAINN;F;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;8;7;1;0;0;1;0
205310;DATAINN;F;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;3;3;0;0;0;0;0
205310;DATAINN;F;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;4;4;0;0;0;0;0
205310;DATAINN;F;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;7;6;1;0;1;0;0
205310;DATAINN;F;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;5;5;0;0;0;0;0
205310;DATAINN;F;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;8;6;2;0;1;1;0
205310;DATAINN;F;2018-01-01T08:00+01:00[Europe/Oslo];2;1.0;7;5;2;0;1;1;0
205310;DATAINN;F;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;11;9;2;0;2;0;0
205310;DATAINN;F;2018-01-01T09:00+01:00[Europe/Oslo];2;1.0;14;12;2;0;1;1;0
205310;DATAINN;F;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;8;5;3;0;1;2;0
205310;DATAINN;F;2018-01-01T10:00+01:00[Europe/Oslo];2;1.0;13;11;2;0;1;1;0
205310;DATAINN;F;2018-01-01T11:00+01:00[Europe/Oslo];1;1.0;38;36;2;0;1;1;0
205310;DATAINN;F;2018-01-01T11:00+01:00[Europe/Oslo];2;1.0;40;38;2;0;0;2;0
205310;DATAINN;F;2018-01-01T12:00+01:00[Europe/Oslo];1;1.0;46;44;2;0;1;1;0
205310;DATAINN;F;2018-01-01T12:00+01:00[Europe/Oslo];2;1.0;59;56;3;0;0;3;0
205310;DATAINN;F;2018-01-01T13:00+01:00[Europe/Oslo];1;1.0;65;62;3;1;0;2;0
205310;DATAINN;F;2018-01-01T13:00+01:00[Europe/Oslo];2;1.0;75;71;4;2;0;2;0
205310;DATAINN;F;2018-01-01T14:00+01:00[Europe/Oslo];1;1.0;86;84;2;0;0;2;0
205310;DATAINN;F;2018-01-01T14:00+01:00[Europe/Oslo];2;1.0;107;104;3;1;0;2;0
205310;DATAINN;F;2018-01-01T15:00+01:00[Europe/Oslo];1;1.0;103;101;2;0;1;1;0
