measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
202182;DATAINN;F;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;70;67;3;1;0;2;0
202182;DATAINN;F;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;92;90;2;0;0;2;0
202182;DATAINN;F;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;118;118;0;0;0;0;0
202182;DATAINN;F;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;150;149;1;1;0;0;0
202182;DATAINN;F;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;125;121;4;2;2;0;0
202182;DATAINN;F;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;109;108;1;1;0;0;0
202182;DATAINN;F;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;46;44;2;2;0;0;0
202182;DATAINN;F;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;61;61;0;0;0;0;0
202182;DATAINN;F;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;28;27;1;1;0;0;0
202182;DATAINN;F;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;26;25;1;1;0;0;0
202182;DATAINN;F;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;14;13;1;1;0;0;0
202182;DATAINN;F;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;19;19;0;0;0;0;0
202182;DATAINN;F;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;16;16;0;0;0;0;0
202182;DATAINN;F;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;24;24;0;0;0;0;0
202182;DATAINN;F;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;18;16;2;0;0;2;0
202182;DATAINN;F;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;43;40;3;0;0;3;0
202182;DATAINN;F;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;18;14;4;2;0;2;0
202182;DATAINN;F;2018-01-01T08:00+01:00[Europe/Oslo];2;1.0;16;14;2;0;0;2;0
