measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
300016;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;34;34;0;0;0;0;0
300016;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;54;54;0;0;0;0;0
300016;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];3;1.0;302;301;1;1;0;0;0
300016;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];4;1.0;338;323;15;2;2;0;11
300016;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];5;1.0;111;107;4;2;0;0;2
300016;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];6;1.0;140;135;5;1;0;0;4
300016;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;100;99;1;1;0;0;0
300016;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;89;88;1;0;1;0;0
300016;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];3;1.0;512;499;13;7;1;0;5
300016;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];4;1.0;509;494;15;8;1;0;6
300016;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];5;1.0;156;148;8;4;0;0;4
300016;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];6;1.0;254;250;4;3;1;0;0
300016;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;60;60;0;0;0;0;0
300016;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;52;52;0;0;0;0;0
300016;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];3;1.0;366;357;9;8;0;1;0
300016;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];4;1.0;313;304;9;7;1;0;1
300016;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];5;1.0;127;121;6;5;1;0;0
300016;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];6;1.0;233;231;2;2;0;0;0
300016;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;21;21;0;0;0;0;0
300016;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;18;18;0;0;0;0;0
300016;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];3;1.0;245;232;13;12;0;1;0
300016;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];4;1.0;218;208;10;9;0;0;1
300016;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];5;1.0;92;90;2;2;0;0;0
300016;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];6;1.0;122;121;1;1;0;0;0
300016;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;7;7;0;0;0;0;0
300016;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;9;9;0;0;0;0;0
300016;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];3;1.0;122;116;6;4;2;0;0
300016;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];4;1.0;136;122;14;6;2;0;6
300016;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];5;1.0;54;50;4;1;0;0;3
300016;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];6;1.0;86;83;3;2;0;1;0
300016;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;3;3;0;0;0;0;0
300016;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;10;10;0;0;0;0;0
300016;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];3;1.0;92;82;10;4;3;2;1
300016;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];4;1.0;132;118;14;7;1;0;6
300016;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];5;1.0;35;29;6;3;0;0;3
300016;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];6;1.0;68;62;6;3;0;2;1
300016;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;9;9;0;0;0;0;0
300016;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;4;4;0;0;0;0;0
300016;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];3;1.0;136;123;13;6;2;2;3
300016;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];4;1.0;86;74;12;4;1;0;7
300016;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];5;1.0;39;37;2;0;0;1;1
300016;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];6;1.0;51;47;4;1;0;2;1
300016;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;42;42;0;0;0;0;0
300016;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;9;8;1;1;0;0;0
300016;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];3;1.0;251;241;10;5;1;1;3
300016;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];4;1.0;141;135;6;4;1;1;0
300016;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];5;1.0;43;39;4;2;0;0;2
300016;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];6;1.0;83;79;4;0;0;2;2
300016;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;19;18;1;0;1;0;0
300016;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];2;1.0;17;17;0;0;0;0;0
300016;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];3;1.0;160;149;11;7;1;1;2
300016;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];4;1.0;146;142;4;3;0;0;1
300016;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];5;1.0;41;34;6;2;0;1;3
300016;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];6;1.0;56;52;4;0;0;2;2
300016;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;16;15;1;1;0;0;0
300016;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];2;1.0;7;7;0;0;0;0;0
300016;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];3;1.0;166;153;13;6;3;2;2
300016;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];4;1.0;124;108;16;12;2;0;2
300016;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];5;1.0;37;30;7;2;1;0;4
300016;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];6;1.0;36;32;4;0;0;2;2
300016;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;20;19;1;1;0;0;0
300016;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];2;1.0;9;8;1;1;0;0;0
300016;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];3;1.0;240;224;16;4;7;2;3
300016;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];4;1.0;167;160;7;6;0;0;1
300016;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];5;1.0;48;38;10;1;2;0;7
300016;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];6;1.0;85;73;12;5;3;2;2
300016;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];1;1.0;47;44;3;2;0;0;1
300016;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];2;1.0;28;28;0;0;0;0;0
300016;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];3;1.0;356;339;17;5;7;3;2
300016;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];4;1.0;288;286;2;0;1;0;1
300016;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];5;1.0;111;101;10;1;2;0;7
300016;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];6;1.0;106;95;11;2;4;2;3
300016;DATAINN;R;2018-01-01T12:00+01:00[Europe/Oslo];1;1.0;133;130;3;3;0;0;0
300016;DATAINN;R;2018-01-01T12:00+01:00[Europe/Oslo];2;1.0;74;72;2;1;1;0;0
300016;DATAINN;R;2018-01-01T12:00+01:00[Europe/Oslo];3;1.0;605;585;20;10;4;2;4
300016;DATAINN;R;2018-01-01T12:00+01:00[Europe/Oslo];4;1.0;398;385;13;8;4;0;1
