measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
300225;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;94;94;0;0;0;0;0
300225;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;48;46;2;1;0;0;1
300225;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];3;1.0;538;531;7;5;2;0;0
300225;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];4;1.0;400;378;22;12;4;1;5
300225;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];5;1.0;83;76;7;3;2;2;0
300225;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];6;1.0;40;26;14;2;1;5;6
300225;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];7;1.0;28;8;20;0;1;11;8
300225;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;136;134;2;2;0;0;0
300225;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;128;127;1;1;0;0;0
300225;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];3;1.0;651;642;9;8;1;0;0
300225;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];4;1.0;660;649;11;4;1;1;5
300225;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];5;1.0;108;107;1;1;0;0;0
300225;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];6;1.0;47;36;11;2;0;4;5
300225;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];7;1.0;15;7;8;0;0;6;2
300225;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;81;81;0;0;0;0;0
300225;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;99;99;0;0;0;0;0
300225;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];3;1.0;491;478;13;9;2;2;0
300225;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];4;1.0;615;594;21;15;1;0;5
300225;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];5;1.0;92;91;1;1;0;0;0
300225;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];6;1.0;42;34;8;2;0;3;3
300225;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];7;1.0;11;4;7;1;0;3;3
300225;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;45;43;2;2;0;0;0
300225;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;46;45;1;0;0;0;1
300225;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];3;1.0;326;322;4;4;0;0;0
300225;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];4;1.0;372;363;9;6;2;1;0
300225;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];5;1.0;80;78;2;2;0;0;0
300225;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];6;1.0;40;33;7;0;0;4;3
300225;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];7;1.0;13;8;5;0;0;3;2
300225;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;14;12;2;1;1;0;0
300225;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;18;18;0;0;0;0;0
300225;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];3;1.0;229;222;7;5;1;0;1
300225;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];4;1.0;243;231;12;8;2;1;1
300225;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];5;1.0;56;50;6;3;2;1;0
300225;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];6;1.0;30;24;6;1;0;3;2
300225;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];7;1.0;13;4;9;0;0;5;4
300225;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;5;5;0;0;0;0;0
300225;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;7;7;0;0;0;0;0
300225;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];3;1.0;123;119;4;2;1;0;1
300225;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];4;1.0;159;145;14;4;3;2;5
300225;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];5;1.0;24;23;1;1;0;0;0
300225;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];6;1.0;14;13;1;0;0;0;1
300225;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];7;1.0;7;3;4;0;0;2;2
300225;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;9;9;0;0;0;0;0
300225;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;5;5;0;0;0;0;0
300225;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];3;1.0;127;118;9;0;2;4;3
300225;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];4;1.0;158;154;4;1;2;0;1
300225;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];5;1.0;24;22;2;1;0;0;1
300225;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];6;1.0;8;6;2;0;0;0;2
300225;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];7;1.0;5;3;2;0;0;0;2
300225;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;8;8;0;0;0;0;0
300225;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;6;6;0;0;0;0;0
300225;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];3;1.0;152;144;8;5;1;1;1
300225;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];4;1.0;156;147;9;4;2;1;2
300225;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];5;1.0;23;20;3;0;0;2;1
300225;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];6;1.0;14;8;6;0;0;3;3
300225;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];7;1.0;4;1;3;0;0;0;3
300225;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;10;10;0;0;0;0;0
300225;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];2;1.0;7;7;0;0;0;0;0
300225;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];3;1.0;145;137;8;1;1;1;5
300225;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];4;1.0;156;147;9;6;1;1;1
300225;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];5;1.0;24;20;4;1;1;2;0
300225;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];6;1.0;15;2;13;0;0;9;4
300225;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];7;1.0;13;1;12;0;0;7;5
300225;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;8;8;0;0;0;0;0
300225;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];2;1.0;12;12;0;0;0;0;0
300225;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];3;1.0;126;111;15;5;0;5;5
300225;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];4;1.0;170;153;17;6;5;2;4
300225;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];5;1.0;34;28;6;1;0;4;1
300225;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];6;1.0;17;2;15;1;0;10;4
300225;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];7;1.0;18;3;15;0;0;10;5
300225;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;27;24;3;2;1;0;0
300225;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];2;1.0;34;33;1;0;0;1;0
300225;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];3;1.0;221;209;12;2;6;2;2
300225;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];4;1.0;265;243;22;9;3;2;8
300225;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];5;1.0;68;57;11;1;2;3;5
300225;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];6;1.0;22;2;20;0;0;11;9
300225;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];7;1.0;23;4;19;0;1;10;8
300225;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];1;1.0;82;79;3;1;1;1;0
300225;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];2;1.0;101;95;6;5;0;1;0
300225;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];3;1.0;454;438;16;6;3;2;5
300225;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];4;1.0;533;504;29;9;8;3;9
300225;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];5;1.0;101;92;9;2;0;3;4
300225;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];6;1.0;37;12;25;1;0;14;10
300225;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];7;1.0;32;7;25;0;0;14;11
300225;DATAINN;E;2018-01-01T12:00+01:00[Europe/Oslo];1;1.0;201;198;3;2;1;0;0
300225;DATAINN;E;2018-01-01T12:00+01:00[Europe/Oslo];2;1.0;216;210;6;2;1;3;0
300225;DATAINN;E;2018-01-01T12:00+01:00[Europe/Oslo];3;1.0;701;677;24;5;7;4;8
300225;DATAINN;E;2018-01-01T12:00+01:00[Europe/Oslo];4;1.0;831;809;22;6;5;3;8
300225;DATAINN;E;2018-01-01T12:00+01:00[Europe/Oslo];5;1.0;176;167;9;1;1;4;3
300225;DATAINN;E;2018-01-01T12:00+01:00[Europe/Oslo];6;1.0;41;18;23;0;0;15;8
300225;DATAINN;E;2018-01-01T12:00+01:00[Europe/Oslo];7;1.0;43;19;24;0;0;14;10
300225;DATAINN;E;2018-01-01T13:00+01:00[Europe/Oslo];1;1.0;325;319;6;3;0;1;2
300225;DATAINN;E;2018-01-01T13:00+01:00[Europe/Oslo];2;1.0;519;510;9;4;1;0;4
300225;DATAINN;E;2018-01-01T13:00+01:00[Europe/Oslo];3;1.0;860;838;22;4;9;4;5
300225;DATAINN;E;2018-01-01T13:00+01:00[Europe/Oslo];4;1.0;1121;1086;35;16;10;4;5
300225;DATAINN;E;2018-01-01T13:00+01:00[Europe/Oslo];5;1.0;207;197;10;5;1;2;2
300225;DATAINN;E;2018-01-01T13:00+01:00[Europe/Oslo];6;1.0;61;33;28;2;0;16;10
300225;DATAINN;E;2018-01-01T13:00+01:00[Europe/Oslo];7;1.0;44;18;26;0;1;15;10
300225;DATAINN;E;2018-01-01T14:00+01:00[Europe/Oslo];1;1.0;500;490;10;4;2;0;4
300225;DATAINN;E;2018-01-01T14:00+01:00[Europe/Oslo];2;1.0;745;740;5;4;0;1;0
300225;DATAINN;E;2018-01-01T14:00+01:00[Europe/Oslo];3;1.0;1014;974;40;13;7;6;14
300225;DATAINN;E;2018-01-01T14:00+01:00[Europe/Oslo];4;1.0;1327;1293;34;10;14;5;5
300225;DATAINN;E;2018-01-01T14:00+01:00[Europe/Oslo];5;1.0;286;275;11;3;0;5;3
300225;DATAINN;E;2018-01-01T14:00+01:00[Europe/Oslo];6;1.0;70;47;23;0;0;14;9
300225;DATAINN;E;2018-01-01T14:00+01:00[Europe/Oslo];7;1.0;57;31;26;1;0;15;10
300225;DATAINN;E;2018-01-01T15:00+01:00[Europe/Oslo];1;1.0;488;483;5;3;0;1;1
300225;DATAINN;E;2018-01-01T15:00+01:00[Europe/Oslo];2;1.0;804;791;13;8;3;1;1
300225;DATAINN;E;2018-01-01T15:00+01:00[Europe/Oslo];3;1.0;1023;1004;19;5;10;2;2
300225;DATAINN;E;2018-01-01T15:00+01:00[Europe/Oslo];4;1.0;1371;1343;28;7;7;7;7
300225;DATAINN;E;2018-01-01T15:00+01:00[Europe/Oslo];5;1.0;308;295;13;2;1;5;5
300225;DATAINN;E;2018-01-01T15:00+01:00[Europe/Oslo];6;1.0;98;71;27;1;0;16;10
300225;DATAINN;E;2018-01-01T15:00+01:00[Europe/Oslo];7;1.0;64;36;28;1;0;16;11
300225;DATAINN;E;2018-01-01T16:00+01:00[Europe/Oslo];1;1.0;461;460;1;0;1;0;0
300225;DATAINN;E;2018-01-01T16:00+01:00[Europe/Oslo];2;1.0;737;722;15;8;6;1;0
300225;DATAINN;E;2018-01-01T16:00+01:00[Europe/Oslo];3;1.0;972;944;28;3;10;6;9
300225;DATAINN;E;2018-01-01T16:00+01:00[Europe/Oslo];4;1.0;1241;1210;31;8;14;2;7
300225;DATAINN;E;2018-01-01T16:00+01:00[Europe/Oslo];5;1.0;264;252;12;4;1;4;3
