measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
200211;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;57;54;3;2;1;0;0
200211;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;113;112;1;1;0;0;0
200211;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;95;95;0;0;0;0;0
200211;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;101;98;3;3;0;0;0
200211;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;48;47;1;1;0;0;0
200211;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;40;38;2;2;0;0;0
200211;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;23;22;1;1;0;0;0
200211;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;15;15;0;0;0;0;0
200211;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;22;20;2;0;1;1;0
200211;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;2;2;0;0;0;0;0
200211;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;14;14;0;0;0;0;0
200211;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;11;10;1;1;0;0;0
200211;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;22;20;2;0;1;1;0
200211;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;7;6;1;0;0;1;0
200211;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;41;41;0;0;0;0;0
200211;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;27;24;3;0;1;1;1
200211;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;63;60;3;1;2;0;0
