measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
200820;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;82;82;0;0;0;0;0
200820;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;42;39;3;2;0;0;1
200820;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];3;1.0;391;388;3;2;0;1;0
200820;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];4;1.0;323;306;17;8;4;2;3
200820;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];5;1.0;49;44;5;1;1;3;0
200820;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];6;1.0;4;0;4;0;0;0;4
200820;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];7;1.0;67;59;8;0;1;0;7
200820;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];8;1.0;75;64;11;0;1;6;4
200820;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;99;99;0;0;0;0;0
200820;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;132;129;3;1;0;0;2
200820;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];3;1.0;548;541;7;7;0;0;0
200820;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];4;1.0;509;499;10;2;2;3;3
200820;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];5;1.0;88;83;5;1;2;2;0
200820;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];6;1.0;5;2;3;0;0;0;3
200820;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];7;1.0;79;72;7;4;1;0;2
200820;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];8;1.0;117;109;8;2;1;3;2
200820;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;73;72;1;1;0;0;0
200820;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;104;103;1;1;0;0;0
200820;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];3;1.0;368;359;9;5;2;1;1
200820;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];4;1.0;455;436;19;8;4;2;5
200820;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];5;1.0;64;61;3;1;0;2;0
200820;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];6;1.0;2;0;2;0;0;0;2
200820;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];7;1.0;63;62;1;0;0;0;1
200820;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];8;1.0;94;89;5;3;0;1;1
200820;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;30;30;0;0;0;0;0
200820;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;33;33;0;0;0;0;0
200820;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];3;1.0;274;271;3;3;0;0;0
200820;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];4;1.0;296;286;10;4;2;3;1
200820;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];5;1.0;41;38;3;2;0;1;0
200820;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];6;1.0;3;1;2;0;0;0;2
200820;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];7;1.0;43;41;2;0;0;0;2
200820;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];8;1.0;67;63;4;1;0;2;1
200820;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;12;12;0;0;0;0;0
200820;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;17;17;0;0;0;0;0
200820;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];3;1.0;147;142;5;2;3;0;0
200820;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];4;1.0;170;161;9;7;1;1;0
200820;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];5;1.0;36;33;3;0;0;2;1
200820;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];6;1.0;3;1;2;0;0;0;2
200820;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];7;1.0;34;27;7;3;0;1;3
200820;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];8;1.0;53;46;7;3;1;3;0
200820;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;8;8;0;0;0;0;0
200820;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;6;6;0;0;0;0;0
200820;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];3;1.0;89;85;4;3;0;0;1
200820;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];4;1.0;111;98;13;2;4;0;7
200820;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];5;1.0;10;10;0;0;0;0;0
200820;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];6;1.0;3;1;2;0;0;0;2
200820;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];7;1.0;19;17;2;1;0;0;1
200820;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];8;1.0;34;34;0;0;0;0;0
200820;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;7;7;0;0;0;0;0
200820;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;11;11;0;0;0;0;0
200820;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];3;1.0;97;90;7;0;2;1;4
200820;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];4;1.0;133;131;2;1;0;0;1
200820;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];5;1.0;11;9;2;0;0;1;1
200820;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];6;1.0;2;0;2;0;0;0;2
200820;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];7;1.0;16;15;1;0;0;0;1
200820;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];8;1.0;14;13;1;0;1;0;0
200820;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;13;13;0;0;0;0;0
200820;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;11;11;0;0;0;0;0
200820;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];3;1.0;136;128;8;5;0;2;1
200820;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];4;1.0;139;129;10;4;2;2;2
200820;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];5;1.0;20;16;4;2;0;1;1
200820;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];6;1.0;2;0;2;0;0;0;2
200820;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];7;1.0;13;11;2;0;0;0;2
