measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
200160;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;142;133;9;3;3;3;0
200160;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;143;136;7;2;1;4;0
200160;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];4;1.0;4;2;2;0;1;0;1
200160;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;254;243;11;4;6;1;0
200160;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;207;195;12;6;4;2;0
200160;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];4;1.0;5;1;4;0;3;1;0
200160;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;170;166;4;4;0;0;0
200160;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;175;171;4;2;1;1;0
200160;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];4;1.0;2;2;0;0;0;0;0
200160;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;107;105;2;1;0;1;0
200160;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;98;94;4;3;1;0;0
200160;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];4;1.0;4;3;1;0;0;1;0
200160;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;63;58;5;1;2;2;0
200160;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;48;45;3;3;0;0;0
200160;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];4;1.0;1;1;0;0;0;0;0
200160;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;40;36;4;0;1;2;1
200160;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;33;31;2;1;0;1;0
200160;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];4;1.0;0;0;0;0;0;0;0
200160;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;51;43;8;3;1;4;0
200160;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;52;46;6;3;1;2;0
200160;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];4;1.0;3;1;2;0;0;1;1
200160;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;72;62;10;2;2;5;1
200160;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;75;68;7;4;2;1;0
200160;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];4;1.0;8;3;5;0;1;3;1
200160;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;55;46;9;3;3;3;0
200160;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];2;1.0;60;59;1;1;0;0;0
200160;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];4;1.0;6;1;5;0;0;4;1
200160;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;57;47;10;3;2;4;1
200160;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];2;1.0;49;44;5;2;2;1;0
200160;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];4;1.0;4;1;3;0;0;2;1
200160;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;100;93;7;2;2;3;0
200160;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];2;1.0;94;88;6;4;1;1;0
200160;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];4;1.0;6;1;5;0;1;3;1
200160;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];1;1.0;183;172;11;4;3;2;2
200160;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];2;1.0;159;154;5;1;3;0;1
200160;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];4;1.0;8;1;7;1;0;5;1
200160;DATAINN;R;2018-01-01T12:00+01:00[Europe/Oslo];1;1.0;277;263;14;3;7;4;0
200160;DATAINN;R;2018-01-01T12:00+01:00[Europe/Oslo];2;1.0;303;293;10;2;6;0;2
200160;DATAINN;R;2018-01-01T12:00+01:00[Europe/Oslo];4;1.0;6;3;3;0;0;1;2
200160;DATAINN;R;2018-01-01T13:00+01:00[Europe/Oslo];1;1.0;333;322;11;3;3;5;0
200160;DATAINN;R;2018-01-01T13:00+01:00[Europe/Oslo];2;1.0;523;503;20;8;6;1;5
200160;DATAINN;R;2018-01-01T13:00+01:00[Europe/Oslo];4;1.0;9;4;5;0;0;4;1
200160;DATAINN;R;2018-01-01T14:00+01:00[Europe/Oslo];1;1.0;417;400;17;7;3;6;1
200160;DATAINN;R;2018-01-01T14:00+01:00[Europe/Oslo];2;1.0;728;712;16;6;5;1;4
200160;DATAINN;R;2018-01-01T14:00+01:00[Europe/Oslo];4;1.0;8;3;5;0;0;4;1
200160;DATAINN;R;2018-01-01T15:00+01:00[Europe/Oslo];1;1.0;456;435;21;7;11;3;0
200160;DATAINN;R;2018-01-01T15:00+01:00[Europe/Oslo];2;1.0;840;816;24;11;11;1;1
200160;DATAINN;R;2018-01-01T15:00+01:00[Europe/Oslo];4;1.0;16;10;6;0;1;3;2
200160;DATAINN;R;2018-01-01T16:00+01:00[Europe/Oslo];1;1.0;456;434;22;5;10;4;3
200160;DATAINN;R;2018-01-01T16:00+01:00[Europe/Oslo];2;1.0;911;892;19;8;10;0;1
200160;DATAINN;R;2018-01-01T16:00+01:00[Europe/Oslo];4;1.0;18;13;5;0;0;4;1
200160;DATAINN;R;2018-01-01T17:00+01:00[Europe/Oslo];1;1.0;406;392;14;4;4;4;2
200160;DATAINN;R;2018-01-01T17:00+01:00[Europe/Oslo];2;1.0;906;885;21;8;10;1;2
200160;DATAINN;R;2018-01-01T17:00+01:00[Europe/Oslo];4;1.0;10;4;6;0;0;5;1
200160;DATAINN;R;2018-01-01T18:00+01:00[Europe/Oslo];1;1.0;375;356;19;7;7;2;3
200160;DATAINN;R;2018-01-01T18:00+01:00[Europe/Oslo];2;1.0;981;963;18;12;5;0;1
200160;DATAINN;R;2018-01-01T18:00+01:00[Europe/Oslo];4;1.0;14;7;7;0;0;7;0
200160;DATAINN;R;2018-01-01T19:00+01:00[Europe/Oslo];1;1.0;350;330;20;5;6;6;3
200160;DATAINN;R;2018-01-01T19:00+01:00[Europe/Oslo];2;1.0;971;943;28;13;11;1;3
200160;DATAINN;R;2018-01-01T19:00+01:00[Europe/Oslo];4;1.0;12;6;6;1;0;5;0
200160;DATAINN;R;2018-01-01T20:00+01:00[Europe/Oslo];1;1.0;291;279;12;5;0;6;1
200160;DATAINN;R;2018-01-01T20:00+01:00[Europe/Oslo];2;1.0;835;810;25;12;9;1;3
200160;DATAINN;R;2018-01-01T20:00+01:00[Europe/Oslo];4;1.0;12;5;7;1;1;5;0
200160;DATAINN;R;2018-01-01T21:00+01:00[Europe/Oslo];1;1.0;212;199;13;3;5;4;1
200160;DATAINN;R;2018-01-01T21:00+01:00[Europe/Oslo];2;1.0;495;478;17;8;7;1;1
200160;DATAINN;R;2018-01-01T21:00+01:00[Europe/Oslo];4;1.0;9;3;6;0;0;5;1
200160;DATAINN;R;2018-01-01T22:00+01:00[Europe/Oslo];1;1.0;163;146;17;3;3;7;4
200160;DATAINN;R;2018-01-01T22:00+01:00[Europe/Oslo];2;1.0;268;256;12;5;3;1;3
200160;DATAINN;R;2018-01-01T22:00+01:00[Europe/Oslo];4;1.0;7;1;6;0;1;5;0
200160;DATAINN;R;2018-01-01T23:00+01:00[Europe/Oslo];1;1.0;82;73;9;1;4;3;1
200160;DATAINN;R;2018-01-01T23:00+01:00[Europe/Oslo];2;1.0;117;108;9;1;3;2;3
200160;DATAINN;R;2018-01-01T23:00+01:00[Europe/Oslo];4;1.0;5;0;5;0;0;5;0
200160;DATAINN;R;2018-01-02T00:00+01:00[Europe/Oslo];1;1.0;51;40;11;2;5;4;0
200160;DATAINN;R;2018-01-02T00:00+01:00[Europe/Oslo];2;1.0;51;44;7;2;3;2;0
200160;DATAINN;R;2018-01-02T00:00+01:00[Europe/Oslo];4;1.0;3;0;3;0;1;2;0
200160;DATAINN;R;2018-01-02T01:00+01:00[Europe/Oslo];1;1.0;32;26;6;0;5;0;1
200160;DATAINN;R;2018-01-02T01:00+01:00[Europe/Oslo];2;1.0;36;29;7;0;4;3;0
200160;DATAINN;R;2018-01-02T01:00+01:00[Europe/Oslo];4;1.0;1;0;1;0;1;0;0
200160;DATAINN;R;2018-01-02T02:00+01:00[Europe/Oslo];1;1.0;23;16;7;4;3;0;0
200160;DATAINN;R;2018-01-02T02:00+01:00[Europe/Oslo];2;1.0;21;13;8;3;4;1;0
200160;DATAINN;R;2018-01-02T02:00+01:00[Europe/Oslo];4;1.0;0;0;0;0;0;0;0
200160;DATAINN;R;2018-01-02T03:00+01:00[Europe/Oslo];1;1.0;26;17;9;2;4;1;2
200160;DATAINN;R;2018-01-02T03:00+01:00[Europe/Oslo];2;1.0;28;17;11;8;2;0;1
200160;DATAINN;R;2018-01-02T03:00+01:00[Europe/Oslo];4;1.0;0;0;0;0;0;0;0
200160;DATAINN;R;2018-01-02T04:00+01:00[Europe/Oslo];1;1.0;33;25;8;1;3;3;1
200160;DATAINN;R;2018-01-02T04:00+01:00[Europe/Oslo];2;1.0;46;36;10;3;6;0;1
200160;DATAINN;R;2018-01-02T04:00+01:00[Europe/Oslo];4;1.0;0;0;0;0;0;0;0
200160;DATAINN;R;2018-01-02T05:00+01:00[Europe/Oslo];1;1.0;133;101;32;3;9;14;6
200160;DATAINN;R;2018-01-02T05:00+01:00[Europe/Oslo];2;1.0;256;236;20;7;7;1;5
200160;DATAINN;R;2018-01-02T05:00+01:00[Europe/Oslo];4;1.0;13;7;6;0;0;6;0
200160;DATAINN;R;2018-01-02T06:00+01:00[Europe/Oslo];1;1.0;331;286;45;6;13;16;10
200160;DATAINN;R;2018-01-02T06:00+01:00[Europe/Oslo];2;1.0;840;776;64;22;31;5;6
200160;DATAINN;R;2018-01-02T06:00+01:00[Europe/Oslo];4;1.0;76;59;17;0;0;15;2
200160;DATAINN;R;2018-01-02T07:00+01:00[Europe/Oslo];1;1.0;453;404;49;10;21;12;6
200160;DATAINN;R;2018-01-02T07:00+01:00[Europe/Oslo];2;1.0;925;873;52;15;27;5;5
200160;DATAINN;R;2018-01-02T07:00+01:00[Europe/Oslo];4;1.0;91;77;14;0;0;14;0
200160;DATAINN;R;2018-01-02T08:00+01:00[Europe/Oslo];1;1.0;455;398;57;19;24;7;7
200160;DATAINN;R;2018-01-02T08:00+01:00[Europe/Oslo];2;1.0;593;532;61;26;21;4;10
200160;DATAINN;R;2018-01-02T08:00+01:00[Europe/Oslo];4;1.0;55;43;12;0;1;10;1
200160;DATAINN;R;2018-01-02T09:00+01:00[Europe/Oslo];1;1.0;322;260;62;21;19;7;15
200160;DATAINN;R;2018-01-02T09:00+01:00[Europe/Oslo];2;1.0;468;399;69;26;22;4;17
200160;DATAINN;R;2018-01-02T09:00+01:00[Europe/Oslo];4;1.0;29;21;8;1;0;6;1
200160;DATAINN;R;2018-01-02T10:00+01:00[Europe/Oslo];1;1.0;354;290;64;23;22;8;11
200160;DATAINN;R;2018-01-02T10:00+01:00[Europe/Oslo];2;1.0;435;370;65;21;26;7;11
200160;DATAINN;R;2018-01-02T10:00+01:00[Europe/Oslo];4;1.0;9;6;3;0;0;3;0
200160;DATAINN;R;2018-01-02T11:00+01:00[Europe/Oslo];1;1.0;457;384;73;23;27;9;14
200160;DATAINN;R;2018-01-02T11:00+01:00[Europe/Oslo];2;1.0;471;414;57;25;15;2;15
200160;DATAINN;R;2018-01-02T11:00+01:00[Europe/Oslo];4;1.0;11;5;6;1;0;4;1
200160;DATAINN;R;2018-01-02T12:00+01:00[Europe/Oslo];1;1.0;481;417;64;22;25;4;13
200160;DATAINN;R;2018-01-02T12:00+01:00[Europe/Oslo];2;1.0;499;442;57;15;26;2;14
200160;DATAINN;R;2018-01-02T12:00+01:00[Europe/Oslo];4;1.0;10;5;5;0;0;4;1
200160;DATAINN;R;2018-01-02T13:00+01:00[Europe/Oslo];1;1.0;538;471;67;30;27;5;5
