measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
300108;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;55;47;8;3;3;2;0
300108;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];3;1.0;393;366;27;8;7;12;0
300108;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];5;1.0;59;55;4;4;0;0;0
300108;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;57;53;4;1;0;3;0
300108;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];3;1.0;308;298;10;3;4;3;0
300108;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];5;1.0;59;58;1;0;1;0;0
300108;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;72;68;4;2;0;2;0
300108;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];3;1.0;265;248;17;8;3;6;0
300108;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];5;1.0;47;45;2;2;0;0;0
300108;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;105;103;2;0;0;2;0
300108;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];3;1.0;241;225;16;10;3;3;0
300108;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];5;1.0;44;43;1;0;1;0;0
300108;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;87;83;4;1;0;1;2
300108;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];3;1.0;185;180;5;3;0;1;1
300108;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];5;1.0;26;26;0;0;0;0;0
300108;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;40;39;1;0;1;0;0
300108;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];3;1.0;120;107;13;7;0;3;3
300108;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];5;1.0;27;27;0;0;0;0;0
300108;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;23;19;4;1;2;0;1
300108;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];3;1.0;79;77;2;2;0;0;0
300108;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];5;1.0;9;7;2;2;0;0;0
300108;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;17;12;5;0;3;2;0
300108;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];3;1.0;80;74;6;2;2;2;0
300108;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];5;1.0;13;12;1;0;1;0;0
300108;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;15;11;4;1;2;1;0
300108;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];3;1.0;68;61;7;1;1;5;0
300108;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];5;1.0;11;10;1;0;0;1;0
300108;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;12;9;3;0;2;1;0
300108;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];3;1.0;69;52;17;5;2;10;0
300108;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];5;1.0;14;12;2;1;0;1;0
300108;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;10;6;4;1;2;1;0
300108;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];3;1.0;83;69;14;4;2;8;0
300108;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];5;1.0;16;15;1;0;0;1;0
300108;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];1;1.0;20;11;9;1;2;6;0
300108;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];3;1.0;166;149;17;6;1;10;0
300108;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];5;1.0;22;20;2;0;0;1;1
300108;DATAINN;R;2018-01-01T12:00+01:00[Europe/Oslo];1;1.0;22;16;6;1;2;3;0
300108;DATAINN;R;2018-01-01T12:00+01:00[Europe/Oslo];3;1.0;224;208;16;3;3;10;0
300108;DATAINN;R;2018-01-01T12:00+01:00[Europe/Oslo];5;1.0;41;40;1;0;1;0;0
300108;DATAINN;R;2018-01-01T13:00+01:00[Europe/Oslo];1;1.0;17;11;6;0;3;3;0
300108;DATAINN;R;2018-01-01T13:00+01:00[Europe/Oslo];3;1.0;244;225;19;2;2;15;0
300108;DATAINN;R;2018-01-01T13:00+01:00[Europe/Oslo];5;1.0;40;38;2;1;0;1;0
300108;DATAINN;R;2018-01-01T14:00+01:00[Europe/Oslo];1;1.0;16;11;5;0;2;3;0
