measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
200200;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;42;41;1;0;1;0;0
200200;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;101;101;0;0;0;0;0
200200;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];3;1.0;238;228;10;3;7;0;0
200200;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];4;1.0;349;344;5;1;2;1;1
200200;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;82;80;2;1;1;0;0
200200;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;64;63;1;1;0;0;0
200200;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];3;1.0;389;378;11;3;2;2;4
200200;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];4;1.0;384;378;6;2;1;1;2
200200;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;34;34;0;0;0;0;0
200200;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;27;27;0;0;0;0;0
200200;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];3;1.0;255;249;6;1;2;1;2
200200;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];4;1.0;224;215;9;6;1;1;1
200200;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;22;22;0;0;0;0;0
200200;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;9;9;0;0;0;0;0
200200;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];3;1.0;182;176;6;2;1;2;1
200200;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];4;1.0;132;127;5;0;2;1;2
200200;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;20;19;1;1;0;0;0
200200;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;5;5;0;0;0;0;0
200200;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];3;1.0;176;163;13;2;2;6;3
200200;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];4;1.0;100;93;7;2;1;3;1
200200;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;15;15;0;0;0;0;0
200200;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;11;10;1;0;0;1;0
200200;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];3;1.0;132;117;15;3;3;9;0
200200;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];4;1.0;125;111;14;1;5;6;2
200200;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;21;21;0;0;0;0;0
200200;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;11;10;1;0;1;0;0
200200;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];3;1.0;208;194;14;1;4;7;2
200200;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];4;1.0;133;121;12;2;2;5;3
200200;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;52;50;2;0;0;2;0
200200;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;15;14;1;1;0;0;0
200200;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];3;1.0;304;291;13;2;1;5;5
200200;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];4;1.0;212;196;16;2;3;9;2
200200;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;49;49;0;0;0;0;0
200200;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];2;1.0;23;23;0;0;0;0;0
200200;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];3;1.0;312;288;24;2;4;12;6
200200;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];4;1.0;216;205;11;2;3;5;1
200200;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;55;54;1;0;0;1;0
200200;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];2;1.0;29;28;1;1;0;0;0
200200;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];3;1.0;330;312;18;5;1;7;5
200200;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];4;1.0;264;239;25;2;5;12;6
200200;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;115;114;1;0;0;1;0
