measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
202200;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;133;124;9;3;2;2;2
202200;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;89;83;6;4;1;0;1
202200;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];3;1.0;9;8;1;1;0;0;0
202200;DATAINN;R;2018-01-01T00:00+01:00[Europe/Oslo];4;1.0;10;10;0;0;0;0;0
202200;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;207;200;7;3;2;2;0
202200;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;172;167;5;4;1;0;0
202200;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];3;1.0;9;9;0;0;0;0;0
202200;DATAINN;R;2018-01-01T01:00+01:00[Europe/Oslo];4;1.0;11;11;0;0;0;0;0
202200;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;112;109;3;1;2;0;0
202200;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;125;120;5;5;0;0;0
202200;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];3;1.0;12;12;0;0;0;0;0
202200;DATAINN;R;2018-01-01T02:00+01:00[Europe/Oslo];4;1.0;6;6;0;0;0;0;0
202200;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;69;67;2;1;1;0;0
202200;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;52;49;3;2;1;0;0
202200;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];3;1.0;5;5;0;0;0;0;0
202200;DATAINN;R;2018-01-01T03:00+01:00[Europe/Oslo];4;1.0;5;4;1;1;0;0;0
202200;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;48;47;1;0;0;1;0
202200;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;46;45;1;1;0;0;0
202200;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];3;1.0;7;7;0;0;0;0;0
202200;DATAINN;R;2018-01-01T04:00+01:00[Europe/Oslo];4;1.0;2;2;0;0;0;0;0
202200;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;25;21;4;2;2;0;0
202200;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;29;24;5;2;2;1;0
202200;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];3;1.0;2;1;1;1;0;0;0
202200;DATAINN;R;2018-01-01T05:00+01:00[Europe/Oslo];4;1.0;2;2;0;0;0;0;0
202200;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;27;27;0;0;0;0;0
202200;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;48;39;9;4;1;3;1
202200;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];3;1.0;4;3;1;0;1;0;0
202200;DATAINN;R;2018-01-01T06:00+01:00[Europe/Oslo];4;1.0;0;0;0;0;0;0;0
202200;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;49;48;1;1;0;0;0
202200;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;56;54;2;1;0;1;0
202200;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];3;1.0;1;1;0;0;0;0;0
202200;DATAINN;R;2018-01-01T07:00+01:00[Europe/Oslo];4;1.0;4;3;1;0;0;1;0
202200;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;55;50;5;5;0;0;0
202200;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];2;1.0;23;20;3;1;2;0;0
202200;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];3;1.0;3;2;1;0;1;0;0
202200;DATAINN;R;2018-01-01T08:00+01:00[Europe/Oslo];4;1.0;1;1;0;0;0;0;0
202200;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;31;29;2;0;2;0;0
202200;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];2;1.0;41;37;4;1;1;1;1
202200;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];3;1.0;3;3;0;0;0;0;0
202200;DATAINN;R;2018-01-01T09:00+01:00[Europe/Oslo];4;1.0;2;2;0;0;0;0;0
202200;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;56;52;4;1;2;1;0
202200;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];2;1.0;55;54;1;1;0;0;0
202200;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];3;1.0;1;1;0;0;0;0;0
202200;DATAINN;R;2018-01-01T10:00+01:00[Europe/Oslo];4;1.0;2;1;1;1;0;0;0
202200;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];1;1.0;95;91;4;1;1;2;0
202200;DATAINN;R;2018-01-01T11:00+01:00[Europe/Oslo];2;1.0;127;118;9;6;3;0;0
