measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
300096;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;61;57;4;0;4;0;0
300096;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;4;4;0;0;0;0;0
300096;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];3;1.0;27;23;4;1;1;1;1
300096;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];4;1.0;109;101;8;0;6;2;0
300096;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;82;80;2;0;2;0;0
300096;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;9;9;0;0;0;0;0
300096;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];3;1.0;52;51;1;0;0;1;0
300096;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];4;1.0;210;202;8;2;3;3;0
300096;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;70;65;5;0;4;0;1
300096;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;4;3;1;0;1;0;0
300096;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];3;1.0;40;35;5;2;1;2;0
300096;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];4;1.0;140;131;9;5;3;1;0
300096;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;20;19;1;0;1;0;0
300096;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;0;0;0;0;0;0;0
300096;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];3;1.0;25;20;5;2;2;1;0
300096;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];4;1.0;70;61;9;2;6;1;0
300096;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;14;13;1;1;0;0;0
300096;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;0;0;0;0;0;0;0
300096;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];3;1.0;15;14;1;0;1;0;0
300096;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];4;1.0;38;32;6;1;1;2;2
300096;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];1;1.0;12;7;5;1;0;3;1
300096;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];2;1.0;0;0;0;0;0;0;0
300096;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];3;1.0;10;9;1;1;0;0;0
300096;DATAINN;E;2018-01-01T05:00+01:00[Europe/Oslo];4;1.0;30;26;4;0;1;1;2
300096;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];1;1.0;24;23;1;0;0;0;1
300096;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];2;1.0;1;1;0;0;0;0;0
300096;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];3;1.0;10;9;1;0;0;1;0
300096;DATAINN;E;2018-01-01T06:00+01:00[Europe/Oslo];4;1.0;21;16;5;0;1;2;2
300096;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];1;1.0;20;19;1;0;1;0;0
300096;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];2;1.0;0;0;0;0;0;0;0
300096;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];3;1.0;8;6;2;0;1;1;0
300096;DATAINN;E;2018-01-01T07:00+01:00[Europe/Oslo];4;1.0;36;34;2;0;1;1;0
300096;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];1;1.0;25;21;4;1;1;2;0
300096;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];2;1.0;0;0;0;0;0;0;0
300096;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];3;1.0;6;3;3;0;2;1;0
300096;DATAINN;E;2018-01-01T08:00+01:00[Europe/Oslo];4;1.0;33;30;3;0;1;1;1
300096;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];1;1.0;35;28;7;2;2;3;0
300096;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];2;1.0;1;1;0;0;0;0;0
300096;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];3;1.0;13;12;1;0;0;1;0
300096;DATAINN;E;2018-01-01T09:00+01:00[Europe/Oslo];4;1.0;45;35;10;1;2;6;1
300096;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];1;1.0;56;51;5;1;1;3;0
300096;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];2;1.0;5;4;1;0;0;1;0
300096;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];3;1.0;8;6;2;0;1;1;0
300096;DATAINN;E;2018-01-01T10:00+01:00[Europe/Oslo];4;1.0;79;69;10;3;1;5;1
300096;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];1;1.0;104;94;10;3;3;4;0
300096;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];2;1.0;10;8;2;1;0;1;0
300096;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];3;1.0;14;11;3;1;0;2;0
300096;DATAINN;E;2018-01-01T11:00+01:00[Europe/Oslo];4;1.0;163;153;10;2;3;3;2
300096;DATAINN;E;2018-01-01T12:00+01:00[Europe/Oslo];1;1.0;177;166;11;2;3;5;1
300096;DATAINN;E;2018-01-01T12:00+01:00[Europe/Oslo];2;1.0;30;29;1;1;0;0;0
