measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
200106;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];1;1.0;86;85;1;1;0;0;0
200106;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];2;1.0;57;55;2;1;0;0;1
200106;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];3;1.0;412;404;8;6;2;0;0
200106;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];4;1.0;399;390;9;3;3;1;2
200106;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];5;1.0;91;88;3;1;1;1;0
200106;DATAINN;E;2018-01-01T00:00+01:00[Europe/Oslo];6;1.0;7;6;1;0;0;1;0
200106;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];1;1.0;190;187;3;3;0;0;0
200106;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];2;1.0;179;179;0;0;0;0;0
200106;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];3;1.0;627;621;6;3;3;0;0
200106;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];4;1.0;726;717;9;4;1;1;3
200106;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];5;1.0;186;184;2;2;0;0;0
200106;DATAINN;E;2018-01-01T01:00+01:00[Europe/Oslo];6;1.0;21;18;3;3;0;0;0
200106;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];1;1.0;75;74;1;0;1;0;0
200106;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];2;1.0;123;120;3;2;1;0;0
200106;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];3;1.0;431;419;12;8;3;0;1
200106;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];4;1.0;541;531;10;5;1;1;3
200106;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];5;1.0;126;124;2;2;0;0;0
200106;DATAINN;E;2018-01-01T02:00+01:00[Europe/Oslo];6;1.0;18;14;4;2;2;0;0
200106;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];1;1.0;23;23;0;0;0;0;0
200106;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];2;1.0;39;38;1;1;0;0;0
200106;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];3;1.0;276;270;6;5;1;0;0
200106;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];4;1.0;287;277;10;6;3;0;1
200106;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];5;1.0;77;74;2;2;0;0;0
200106;DATAINN;E;2018-01-01T03:00+01:00[Europe/Oslo];6;1.0;9;8;1;1;0;0;0
200106;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];1;1.0;5;5;0;0;0;0;0
200106;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];2;1.0;7;7;0;0;0;0;0
200106;DATAINN;E;2018-01-01T04:00+01:00[Europe/Oslo];3;1.0;151;147;4;3;1;0;0
