measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
100001;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];1;1.0;18;18;0;0;0;0;0
100001;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];2;1.0;33;33;0;0;0;0;0
100001;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];3;1.0;146;140;6;1;0;0;5
100001;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];4;1.0;283;281;2;1;0;1;0
100001;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];1;1.0;32;30;2;1;0;1;0
100001;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];2;1.0;10;10;0;0;0;0;0
100001;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];3;1.0;211;201;10;3;3;2;2
100001;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];4;1.0;248;247;1;0;1;0;0
100001;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];1;1.0;15;12;3;3;0;0;0
100001;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];2;1.0;3;3;0;0;0;0;0
100001;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];3;1.0;145;140;5;1;1;1;2
100001;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];4;1.0;166;164;2;0;0;2;0
100001;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];1;1.0;8;8;0;0;0;0;0
100001;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];2;1.0;1;1;0;0;0;0;0
100001;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];3;1.0;87;69;18;3;0;5;10
100001;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];4;1.0;82;79;3;1;1;0;1
