measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
100009;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];1;1.0;0;0;0;0;0;0;0
100009;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];2;1.0;2;2;0;0;0;0;0
100009;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];3;1.0;17;13;4;0;0;0;4
100009;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];4;1.0;21;20;1;1;0;0;0
100009;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];1;1.0;0;0;0;0;0;0;0
100009;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];2;1.0;2;2;0;0;0;0;0
100009;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];3;1.0;24;19;5;1;0;2;2
100009;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];4;1.0;23;22;1;0;0;1;0
100009;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];1;1.0;2;2;0;0;0;0;0
100009;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];2;1.0;2;2;0;0;0;0;0
100009;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];3;1.0;23;14;9;1;0;0;8
100009;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];4;1.0;28;28;0;0;0;0;0
100009;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];1;1.0;0;0;0;0;0;0;0
100009;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];2;1.0;0;0;0;0;0;0;0
100009;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];3;1.0;15;6;9;0;0;3;6
100009;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];4;1.0;10;8;2;1;0;0;1
100009;DATAINN;E;2017-01-01T04:00+01:00[Europe/Oslo];1;1.0;1;1;0;0;0;0;0
100009;DATAINN;E;2017-01-01T04:00+01:00[Europe/Oslo];2;1.0;0;0;0;0;0;0;0
100009;DATAINN;E;2017-01-01T04:00+01:00[Europe/Oslo];3;1.0;14;10;4;0;0;0;4
100009;DATAINN;E;2017-01-01T04:00+01:00[Europe/Oslo];4;1.0;4;1;3;0;0;0;3
